"ALC-01","   8","   8","   9","  10","  10","  10","   9","  10","   9","  10","  10","  10","  10","   9","  10","  10","   9","  10","  12","   9","   9","   9","   9","  10","  11","  10","  10","   9","  11","   9","   9","   9","   9","   8","  10","   8","   9","   9","  10","   9","   9","   9","   9","  11","  10","  10","   9","   9","   9","   9","  11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALF-01","  74","  70","  77","  77","  78","  80","  74","  77","  76","  78","  80","  83","  81","  81","  74","  74","  76","  81","  85","  78","  81","  78","  76","  77","  78","  78","  78","  78","  76","  78","  84","  78","  76","  78","  75","  70","  78","  77","  79","  74","  78","  77","  78","  77","  80","  81","  73","  77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALF-02","  76","  78","  69","  72","  73","  76","  75","  74","  73"," 211","  79","  73","  76","  77","  70","  74","  79","  79","  72","  76","  76","  82","  73","  71","  84","  61","  74","  71","  62","  79"," 211","  76","  75","  72","  76","  81","  72"," 211","  81","  79","  76","  71","  73","  74","  69","  73","  74","  79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FLO-01","  57","  68","  60","  81","  51","  66","  69","  73","  70","  84","  60","  59","  69","  80","  71","  85","  57","  74","  84","  63","  70","  68","  71","  78","  57","  77","  57","  56","  71","  83","  64","  53","  74","  66","  72","  63","  53","  63","  69","  70","  55","  71","  66","  65","  63","  43","  59","  63","  71","  69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBG-01","  13","  14","  10","  12","  13","  12","  12","  11","  11","  13","  14","  13","  13","  11","  10","  12","  11","  15","  14","  13","  12","  17","  13","  14","  12","  13","  15","  12","  12","  14","   8","  14","  18","  13","  14","  10","  10","   8","   7","  21","  14","  14","   9","   7","  10","   7","  10","   9","   9","   7","   8","   7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBG-02","   7","   7","   8","   7","   9","   7","   6","   8","   8","   6","   8","   8","   8","   7","   8","   7","   6","   7","   8","   9","   8","   8","   9","   7","   8","   8","   8","   8","   7","   7","   7","   6","   8","   6","   7","   8","   7","   8","   7","   6","   8","   5","   7","   7","  10","   7","   7","   7","   7","  10","   6","   8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBG-03","  11","  15","  14","  14","  11","  11","  15","  13","  11","  15","  13","  14","  17","  13","  13","  13","  14","  12","  15","  14","  18","  13","  12","  15","  14","  11","  14","  15","  14","  13","  14","  14","  12","  12","  13","  17","  14","  17","  12","  19","  11","   9","  14","  12","  20","  16","  13","  12","  11","  18","  11","  12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBG-04","  16","  19","  22","  18","   9","  15","  15","  17","  18","  11","   9","   9","  10","   9","  17","  21","  18","  14","  10","  13","  11","   9","  21","  15","  10","  15","  10","  16","  11","  10","  16","  11","  16","   9","  20","  14","  11","  12","  12","  17","  13","  14","  13","   9","  13","  13","  14","   8","   9","  15","  12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LFB-03","  31","  40","  31","  24","  40","  34","  43","  46","  41","  43","  38","  31","  36","  17","  48","  49","  43","  43","  40","  39","  42","  32","  53","  56","  43","  59","  34","  44","  46","  43","  48","  51","  57","  43","  45","  84","  42","  32","  55","  44","  21","  37","  49","  44","  52","  30","  22","  38","  58","  30","  29","  39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXV-02","  27","  15","  26","  27","  35","  28","   7","   3","  31","  23","  32","  27","  29","   8","   4","   2","  26","  22","  25","  22","  18","   8","   4","   2","  27","  30","  14","  23","  18","  13","   5","   1","  31","  19","  12","  23","  16","  12","   6","   2","  24","  12","  18","  23","  12","   6","  27","  23","  14","  11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
