site,latitude,longitude,mvcf_pct,trobit_pct,CAI,forest_type,continent,height,size
ALC-01,-2.52866,-54.90864,12.5,27.38509629,0.32,savanna,south_america,6.556291391,1
ALF-01,-9.6,-55.94,77,90.07387484,2.31,forest,south_america,37.01986755,1
ALF-02,-9.58,-55.92,76,92.93487869,2.65,forest,south_america,41.32450331,1
ASU-01,7.13682,-2.4469,41.33333333,92.08016648,2.5358,forest,south_america,45.26666667,1
BBI-01,12.7314,-1.1653,1.333333333,40.5479452,0.52,savanna,africa,12.53333333,1
BBI-02,12.73354,-1.162182,1.5,62.8423309,0.99,savanna,africa,13.6,1
BDA-01,10.93919,-3.14992,6.166666667,25.91817793,0.3,savanna,africa,14.53333333,1
BDA-02,10.9399,-3.1543,4.5,16.47297886,0.18,savanna,africa,14.46666667,1
BFI-01,7.714,-1.6937,15,70.35865474,1.216,savanna,africa,29.66666667,0.5
BFI-02,7.7149,-1.692,12.83333333,65.97246037,1.078,savanna,africa,28.2,0.5
BFI-03,7.7078,-1.6975,25.83333333,92.08016648,2.5358,savanna,africa,45.06666667,0.5
CTC-01,-16.1,145.45,72.66666667,90.46308378,2.35,forest,australia,40.36789298,0.93
DCR-01,-17.02157,145.58368,21.66666667,81.17529344,1.67,savanna,australia,27.19063545,1
DCR-02,-17.02713,145.59731,65.66666667,50.83558025,0.71,savanna,australia,22.5083612,1
EKP-01,-18.06799,145.99329,43.5,52.28860845,0.74,savanna,australia,28.1270903,1
FLO-01,-12.813,-51.8537,65.66666667,90.92820467,2.4,forest,south_america,28.21192053,1
FMS-01,-18.09233,144.83797,7.666666667,27.38509629,0.32,savanna,australia,20.03344482,1
FMS-02,-18.10818,144.82307,44.16666667,70.18027206,1.21,forest,australia,16.68896321,1
HOM-01,15.34335,-1.4684,0.5,4.87705755,0.05,savanna,africa,3.866666667,1
HOM-02,15.33498,-1.5477,0.833333333,14.7856211,0.16,savanna,africa,6.133333333,1
IBG-01,-15.9499,-47.871,20.83333333,19.7481202,0.22,savanna,south_america,7.483443709,1
IBG-02,-15.9522,-47.8717,20,1.980132669,0.02,savanna,south_america,6.291390728,1
IBG-03,-15.9304,-47.873,20.5,11.30795633,0.12,savanna,south_america,8.013245033,1
IBG-04,-15.9446,-47.8606,27.16666667,53.69869317,0.77,savanna,south_america,12.64900662,1
KBL-01,-17.76519,145.54364,75,81.5480476,1.69,forest,australia,39.49832776,1
KBL-02,-17.85079,145.53226,61.16666667,55.51419338,0.81,forest,australia,29.19732441,1
KBL-03,-17.68589,145.53479,79.5,95.02129316,3,forest,australia,36.62207358,1
KCR-01,-17.10833,145.60306,78.83333333,91.28391485,2.44,forest,australia,42.37458194,1
LFB-03,-14.60019,-60.84867,28.16666667,32.29431255,0.39,savanna,south_america,9.933774834,1
MDJ-01,6.1683,12.8251,42,96.08361049,3.24,forest,africa,45,1
MDJ-02,6.1637,12.8244,18.66666667,35.59635789,0.44,savanna,africa,16.13333333,1
MDJ-03,5.9841,12.8687,64.66666667,94.86966897,2.97,forest,africa,36.53333333,1
MDJ-04,5.9986,12.868,15,30.92656694,0.37,savanna,africa,18.93333333,1
MDJ-05,5.9805,12.869,70.33333333,94.21556791,2.85,forest,africa,21.26666667,1
MDJ-06,6.0035,12.8911,20.5,49.33830076,0.68,savanna,africa,15.26666667,1
MDJ-07,6.0074,12.8869,57.33333333,82.62260565,1.75,forest,africa,42.66666667,1
MDJ-08,6.2132,12.7495,15,38.12166082,0.48,savanna,africa,18,1
MLE-01,9.3045,-1.8576,10,28.82296772,0.34,savanna,africa,14.66666667,1
NXV-02,-14.7,-52.35,20.83333333,83.79742491,1.82,cerradao,south_america,15.7615894,1
RSC-01,-20.15626,146.53621,28,68.33632306,1.15,forest,australia,13.14381271,1
SMT-01,-12.8194,-51.7704,36.66666667,78.77520262,1.55,savanna,south_america,14.37086093,1
SMT-02,-12.8247,-51.7686,41.5,76.30722413,1.44,forest,south_america,14.63576159,1
SMT-03,-12.8346,-51.7658,19.33333333,41.13950303,0.53,savanna,south_america,11.19205298,1
TUC-01,-18.52002,-60.81187,50.33333333,72.47292169,1.29,forest,south_america,14.90066225,1
TUC-02,-18.5336,-60.6342,21.66666667,55.51419338,0.81,savanna,south_america,12.05298013,1
TUC-03,-18.18654,-60.863754,10.83333333,30.92656694,0.37,savanna,south_america,14.10596026,1
VCR-01,-14.83,-52.16,69.5,93.97950076,2.81,forest,south_america,28.94039735,0.6
VCR-02,-14.83,-52.17,69.66666667,93.54296531,2.74,forest,south_america,30.92715232,1
